Tue 02 Dec 2025 16:41:16 IST

SLURM_JOBID:		 8558335
SLURM_JOB_NODELIST:	 cs-3090-05 

configuration parmas running: problem_type=bbob es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Successfully loaded: sphere
Loading Problems ..:   0%|                                                                                                                                        | 0/24 [00:00<?, ?it/s]
running the experiment ... [../../results/BBOBProblem/sphere/PGPE_500_2000/0]
Generation 100 | Best fitness (Train): 19250.68 | Best fitness in generation (Train): 19250.68 | Mean fitness (Train): 19333.61 | Mean fitness (Test): 19239.34
Generation 200 | Best fitness (Train): 12497.45 | Best fitness in generation (Train): 12497.45 | Mean fitness (Train): 12567.70 | Mean fitness (Test): 12488.10
Generation 300 | Best fitness (Train): 7227.44 | Best fitness in generation (Train): 7227.44 | Mean fitness (Train): 7280.89 | Mean fitness (Test): 7215.06
Generation 400 | Best fitness (Train): 3433.43 | Best fitness in generation (Train): 3433.43 | Mean fitness (Train): 3468.73 | Mean fitness (Test): 3418.64
Generation 500 | Best fitness (Train): 1093.42 | Best fitness in generation (Train): 1093.42 | Mean fitness (Train): 1108.40 | Mean fitness (Test): 1072.64
Generation 600 | Best fitness (Train): 121.80 | Best fitness in generation (Train): 121.80 | Mean fitness (Train): 126.06 | Mean fitness (Test): 104.08
Generation 700 | Best fitness (Train): 59.10 | Best fitness in generation (Train): 59.10 | Mean fitness (Train): 60.75 | Mean fitness (Test): 44.56
Generation 800 | Best fitness (Train): 56.31 | Best fitness in generation (Train): 56.31 | Mean fitness (Train): 58.00 | Mean fitness (Test): 44.41
Generation 900 | Best fitness (Train): 54.67 | Best fitness in generation (Train): 54.92 | Mean fitness (Train): 55.79 | Mean fitness (Test): 44.41
Generation 1000 | Best fitness (Train): 53.05 | Best fitness in generation (Train): 53.11 | Mean fitness (Train): 53.92 | Mean fitness (Test): 44.41
Generation 1100 | Best fitness (Train): 51.60 | Best fitness in generation (Train): 51.77 | Mean fitness (Train): 52.39 | Mean fitness (Test): 44.41
Generation 1200 | Best fitness (Train): 50.41 | Best fitness in generation (Train): 50.46 | Mean fitness (Train): 51.06 | Mean fitness (Test): 44.41
